,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
118,118,118,118,118,118,118,118,118,2019-08-12,163.020004,167.880005,155.630005,161.5,152.96623200000005,16681500,2.0121981486068115
119,119,119,119,119,119,119,119,119,2019-08-19,163.71000700000005,163.949997,155.270004,155.850006,148.96553,12548800,2.0362527672921615
120,120,120,120,120,120,120,120,120,2019-08-26,157.009995,162.149994,154.0,161.720001,154.576233,11980800,1.9637027271598895
121,121,121,121,121,121,121,121,121,2019-09-02,161.399994,166.41000400000001,157.259995,163.940002,156.698166,7526100,1.9864584544777544
122,122,122,122,122,122,122,122,122,2019-09-09,165.0,172.479996,164.690002,171.440002,163.86686699999996,15315200,1.9562529169825837
123,123,123,123,123,123,123,123,123,2019-09-16,171.21000700000005,171.21000700000005,165.25,166.759995,159.39361599999995,12594300,2.028064326818911
124,124,124,124,124,124,124,124,124,2019-09-23,165.490005,167.550003,162.800003,164.529999,157.262115,13317200,2.013553734963555
125,125,125,125,125,125,125,125,125,2019-09-30,165.21000700000005,165.570007,150.809998,155.820007,148.936859,14424400,2.055897776978023
126,126,126,126,126,126,126,126,126,2019-10-07,155.0,159.600006,150.580002,158.100006,151.11615,16473800,1.9855787545004902
127,127,127,127,127,127,127,127,127,2019-10-14,158.03999299999995,165.490005,157.33999599999999,163.100006,155.89527900000004,12941900,1.969343961888021
128,128,128,128,128,128,128,128,128,2019-10-21,165.470001,168.91000400000001,159.630005,166.08999599999999,158.753174,15832900,1.9819977718585773
129,129,129,129,129,129,129,129,129,2019-10-28,166.479996,170.149994,163.550003,170.08999599999999,162.576492,12707800,1.9764830378383924
130,130,130,130,130,130,130,130,130,2019-11-04,171.619995,176.71000700000005,171.619995,173.149994,165.501312,14434400,1.9823274726766666
131,131,131,131,131,131,131,131,131,2019-11-11,172.5,172.690002,169.580002,171.880005,164.28743,10274300,2.0073888117468925
132,132,132,132,132,132,132,132,132,2019-11-18,170.78999299999995,171.720001,164.509995,167.600006,160.196503,13719900,2.025536985959296
133,133,133,133,133,133,133,133,133,2019-11-25,168.470001,171.369995,167.869995,169.770004,163.675491,7646800,1.9872180129064494
134,134,134,134,134,134,134,134,134,2019-12-02,170.16000400000001,171.990005,162.720001,171.470001,165.31445300000001,14372700,1.9900857468356812
135,135,135,135,135,135,135,135,135,2019-12-09,169.399994,171.259995,166.330002,168.78999299999995,162.73066699999995,11558100,2.015877765928932
136,136,136,136,136,136,136,136,136,2019-12-16,168.940002,175.470001,168.190002,175.369995,169.074448,18130800,1.9624793169435852
137,137,137,137,137,137,137,137,137,2019-12-23,176.71000700000005,179.179993,175.5,177.259995,170.89660600000005,9043900,1.9893376957389626
138,138,138,138,138,138,138,138,138,2019-12-30,177.259995,180.009995,175.070007,178.449997,172.04388400000005,9357200,1.9933314540767406
139,139,139,139,139,139,139,139,139,2020-01-06,177.149994,182.179993,176.350006,180.470001,173.991379,11779400,1.9888069818318446
140,140,140,140,140,140,140,140,140,2020-01-13,180.940002,182.550003,179.179993,181.350006,174.839798,13324200,1.9951474774144755
141,141,141,141,141,141,141,141,141,2020-01-20,181.850006,181.91000400000001,176.389999,178.149994,171.754669,10789400,2.017962459207268
142,142,142,142,142,142,142,142,142,2020-01-27,179.860001,180.58999599999999,158.229996,158.66000400000001,152.964325,28723400,2.1228412297279404
143,143,143,143,143,143,143,143,143,2020-02-03,160.029999,160.309998,156.380005,157.240005,151.595306,8291000,2.0090307743248927
